timestamp,accX,accZ
0,1.71,0.71
1,-5.77,-0.64
2,2.44,2.57
3,0.56,-1.71
4,0.14,1.37
5,1.97,3.49
6,0.56,1.4
7,2.53,2.67
8,2.84,2.17
9,-1.89,-1.78
10,1.84,3.61
11,2.56,3.23
12,-6.15,-0.15
13,4.5,1.9
14,0.51,-1.93
15,2.12,2.56
16,5.74,6.69
17,-4.1,0.13
18,0.85,4.12
19,0.69,2.25
20,-1.62,-2.69
21,2.2,5.3
22,-4.8,4.32
23,0.25,-0.66
24,-2.24,1.76
25,-1.77,-2.14
26,2.1,1.51
27,0.86,4.17
28,-2.48,-1.02
29,4.13,1.07
30,-1.44,2.21
31,-1.62,-2.95
32,-1.45,2.47
33,1.62,5.93
34,2.48,0.86
35,-3.48,3.35
36,1.93,-2.16
37,-0.6,-0.03
38,1.44,2.02
39,-8.53,-1.12
40,0.37,0.46
41,-1.93,3.63
42,1.82,-1.66
43,-0.79,2.18
44,1.81,4.77
45,-0.75,1.83
46,0.57,1.86
47,-1.74,-0.11
48,-0.7,-0.01
49,-0.34,3.58
50,-1.3,2.43
51,-3.06,-1.24
52,3.9,2.15
53,-1.03,-1.88
54,0.67,0.38
55,1.19,6.75
56,0.96,0.63
57,0.03,4.86
58,-0.67,-0.87
59,0.28,0.13
60,1.8,3.04
61,-4.66,2.42
62,1.9,-3.55
63,1.19,3.98
64,-0.56,-2.23
65,-0.12,2.33
66,3.19,5.86
67,-0.47,-2.38
68,1.32,4.49
69,-0.17,0.6
70,0.62,-2.23
71,3.91,3.38
72,-1.65,5.23
73,-1.26,-0.19
74,1.9,4.01
75,0.24,-2.84
76,-1.37,-0.05
77,1.5,5.11
78,-3.26,-2.43
79,1.32,1.15
80,-1.47,0.65
81,1.6,-1.44
82,-1.65,1.34
83,3.27,5.7
84,-6.09,0.13
85,3.92,2.88
86,-3.27,-1.05
87,1.99,-0.24
88,1.38,4.01
89,1.55,-3.48
90,0.35,0.35
91,-0.01,1.62
92,0.64,-1.12
93,-2.04,1.35
94,1.82,5.14
95,-0.62,3.3
96,-2.77,2.98
97,3.58,0.48
98,-1.2,-0.95
99,3.08,4.86
100,-0.97,1.13
101,-1.59,0.42
102,-1.61,2.11
103,2.72,-2.14
104,-1.34,2.78
105,3.73,5.15
106,-2.6,0.74
107,0.32,3.95
108,2.48,1.41
109,-4.3,-3.89
110,1.36,3.81
111,-1.16,5.12
112,-1.45,0.45
113,0.39,2.7
114,-0.69,-2.1
115,-0.4,-0.04
116,4.63,6.47
117,-1.14,-2.96
118,2.02,1.18
119,-0.07,0.99
120,-1.36,-2.71
121,3.16,2.46
122,-1.48,6.03
123,3.0,1.0
124,1.12,2.51
125,-1.36,-1.21
126,-0.47,-0.79
127,0.78,3.7
