timestamp,accX,accZ
0,0.69,0.53
1,-0.09,-2.37
2,-0.18,-3.2
3,-0.53,4.1
4,-0.52,3.57
5,1.04,2.92
6,-4.16,2.37
7,3.49,-4.48
8,-2.13,-1.95
9,0.31,7.03
10,0.54,1.96
11,-0.89,2.06
12,-0.21,2.13
13,0.21,-5.12
14,0.74,1.3
15,2.45,3.32
16,2.62,2.98
17,-4.24,-0.26
18,5.82,0.75
19,-2.53,-4.95
20,0.99,4.18
21,0.95,3.14
22,-1.55,2.83
23,2.23,2.62
24,-0.22,-2.31
25,1.49,-2.27
26,-2.25,5.21
27,0.17,4.1
28,1.05,1.11
29,-1.03,3.4
30,4.58,-5.08
31,-2.61,0.46
32,1.24,4.49
33,-0.61,2.68
34,1.72,-0.4
35,1.46,0.83
36,0.4,-5.43
37,0.56,2.97
38,-1.22,3.83
39,3.85,2.17
40,-0.84,3.76
41,2.26,-2.68
42,-1.15,-4.3
43,-1.67,5.62
44,1.49,2.19
45,-2.92,2.9
46,1.27,2.67
47,0.36,-4.63
48,0.36,-0.77
49,-0.53,3.99
50,0.43,3.4
51,-0.33,-0.15
52,1.87,2.68
53,0.96,-5.73
54,-0.5,1.9
55,0.18,3.28
56,0.43,2.48
57,1.16,0.79
58,1.13,-1.12
59,0.36,-3.34
60,0.89,3.58
61,0.73,5.22
62,0.06,1.68
63,1.64,3.41
64,0.09,-3.4
65,-4.13,-1.9
66,1.22,5.26
67,-1.97,2.44
68,-1.51,1.92
69,1.57,2.93
70,0.25,-5.09
71,1.57,1.08
72,-0.97,3.93
73,1.84,3.02
74,-2.16,-0.12
75,3.61,0.92
76,-0.05,-6.17
77,0.15,3.8
78,1.26,3.43
79,1.61,2.33
80,-0.84,3.25
81,1.21,-2.48
82,1.26,-3.38
83,-2.42,3.83
84,0.82,4.72
85,1.3,0.86
86,-0.69,5.02
87,3.77,-5.9
88,-2.43,-1.13
89,0.87,4.23
90,1.07,2.2
91,-2.41,1.96
92,2.26,0.86
93,-0.14,-5.29
94,0.66,1.49
95,0.67,3.75
96,1.42,2.4
97,-0.67,0.73
98,2.03,-1.8
99,-0.11,-4.02
100,-2.25,3.84
101,5.48,2.96
102,-3.07,2.05
103,-0.11,4.46
104,0.92,-4.2
105,1.12,-0.42
106,-2.46,4.13
107,2.23,3.81
108,-3.35,-0.35
109,-0.88,3.46
110,3.94,-5.96
111,-2.73,1.8
112,2.49,4.41
113,-2.29,2.0
114,0.4,-0.04
115,1.16,0.1
116,1.11,-4.86
117,-0.36,2.11
118,1.41,5.92
119,1.15,0.9
120,-3.04,3.51
121,3.87,-2.6
122,-1.13,-4.34
123,-1.78,4.95
124,1.68,3.17
125,-1.66,2.9
126,0.35,3.49
127,0.36,-4.48
