timestamp,accX,accZ
0,0.5,2.15
1,0.06,4.39
2,0.14,-2.31
3,2.01,2.12
4,0.53,-3.88
5,-0.47,2.79
6,3.07,1.57
7,-2.39,3.71
8,4.14,-1.08
9,1.81,0.2
10,0.75,-1.36
11,-1.58,1.62
12,0.19,4.1
13,-0.44,1.86
14,-0.75,2.13
15,3.87,-1.84
16,-3.67,-0.87
17,3.12,4.18
18,-2.88,2.73
19,3.04,-0.4
20,-1.51,-0.0
21,1.24,-1.19
22,0.45,0.51
23,-1.43,3.52
24,0.66,3.2
25,1.85,-1.86
26,1.79,0.62
27,-0.07,-1.45
28,1.21,4.52
29,-1.19,1.4
30,0.86,3.36
31,-2.23,-0.07
32,1.61,-0.51
33,1.38,-0.57
34,-1.97,2.84
35,1.99,3.85
36,-1.95,-1.03
37,2.7,1.43
38,1.3,-3.49
39,-1.7,3.6
40,0.28,2.14
41,1.1,3.96
42,0.78,-2.06
43,2.55,-0.0
44,-0.43,-1.65
45,1.41,1.96
46,1.19,4.25
47,-0.64,2.55
48,-1.31,1.18
49,3.81,-1.71
50,-2.34,-0.72
51,1.85,3.63
52,1.85,3.53
53,-0.95,0.01
54,2.41,0.57
55,-0.94,-1.79
56,-0.92,0.47
57,0.4,2.61
58,-1.24,3.26
59,1.46,-3.03
60,0.33,0.92
61,0.24,-2.46
62,-1.84,3.3
63,0.29,2.11
64,-1.09,3.15
65,0.4,0.3
66,-1.44,-0.62
67,2.96,0.48
68,-2.96,2.87
69,3.74,4.9
70,-0.33,-3.36
71,-0.03,2.36
72,1.54,-3.21
73,0.14,3.49
74,0.73,2.04
75,-1.78,3.78
76,1.82,-3.11
77,-1.78,0.9
78,1.49,-2.23
79,0.37,0.67
80,-0.45,3.73
81,1.22,2.73
82,0.36,-0.37
83,2.48,-1.11
84,-0.63,-2.37
85,-0.29,4.02
86,-1.16,2.3
87,-0.08,2.51
88,-1.01,0.54
89,2.11,-1.26
90,-1.41,0.67
91,0.7,2.08
92,0.74,4.05
93,0.45,-3.98
94,2.71,1.98
95,0.5,-3.15
96,-0.99,4.05
97,1.6,1.63
98,-0.01,3.71
99,1.07,-0.17
100,0.47,0.0
101,1.74,-0.39
102,0.87,3.43
103,0.32,3.2
104,-0.65,-0.87
105,-1.46,1.4
106,5.47,-1.9
107,-0.43,3.65
108,1.66,2.77
109,-3.47,3.47
110,0.01,-2.79
111,-1.78,-0.11
112,0.64,-1.26
113,2.18,1.01
114,3.4,2.24
115,-2.06,3.68
116,-1.01,-0.27
117,1.1,-0.03
118,-1.4,-2.37
119,3.96,2.84
120,-3.19,2.75
121,1.04,3.17
122,0.9,0.36
123,-1.35,-0.93
124,1.46,-0.72
125,-1.5,3.48
126,-1.15,3.66
127,4.41,-4.04
