timestamp,accX,accZ
0,1.31,2.5
1,0.2,-0.61
2,1.16,0.37
3,-0.71,-0.82
4,0.07,3.04
5,0.75,2.14
6,0.21,-2.68
7,3.06,1.97
8,0.39,-0.98
9,0.47,2.01
10,1.19,1.61
11,-0.74,2.93
12,1.63,-1.15
13,0.22,1.34
14,1.02,-0.35
15,0.12,1.92
16,0.25,2.24
17,-0.16,0.08
18,0.81,1.29
19,1.4,-0.62
20,-1.07,0.35
21,0.1,2.11
22,-0.62,2.44
23,2.14,-1.19
24,-2.62,1.46
25,1.31,-0.2
26,0.35,0.68
27,0.49,3.36
28,-0.37,2.14
29,2.06,-1.58
30,-1.83,-0.08
31,1.5,0.67
32,0.48,2.11
33,-0.86,1.96
34,0.87,1.82
35,-0.73,-0.34
36,0.74,0.72
37,0.14,-0.09
38,0.77,3.24
39,0.96,2.39
40,0.23,-2.98
41,2.02,1.94
42,-1.4,-1.37
43,1.06,2.58
44,-1.31,1.29
45,-0.44,3.04
46,2.18,-1.1
47,-0.68,1.22
48,0.1,-0.53
49,1.11,2.45
50,-1.17,2.22
51,0.86,-0.17
52,1.21,0.89
53,2.2,-0.76
54,2.71,1.28
55,-2.47,2.33
56,1.5,1.9
57,1.1,-1.78
58,0.08,0.84
59,0.93,0.22
60,-1.42,1.3
61,1.52,2.62
62,-1.51,2.39
63,-1.26,0.66
64,1.96,0.28
65,-0.86,-0.01
66,0.59,1.27
67,-1.43,2.1
68,1.14,1.47
69,-0.68,0.74
70,0.36,-0.27
71,0.88,-0.15
72,-1.07,3.09
73,1.56,2.59
74,-0.53,-3.25
75,4.31,2.58
76,-0.14,-1.11
77,0.04,2.34
78,0.62,1.72
79,-0.52,3.01
80,0.63,-1.43
81,-0.68,1.57
82,-0.72,-0.7
83,2.63,2.77
84,-1.45,2.2
85,1.2,0.04
86,-0.32,1.47
87,1.25,-0.83
88,2.12,0.99
89,-1.4,2.16
90,-0.17,2.32
91,1.6,-2.62
92,-1.15,1.44
93,0.14,-0.07
94,-0.54,1.46
95,-0.03,3.19
96,-0.07,1.98
97,-0.59,0.97
98,1.0,-0.17
99,-1.57,-0.61
100,2.01,3.27
101,-0.42,1.21
102,0.66,2.64
103,-2.2,-0.52
104,0.81,0.39
105,0.75,-0.06
106,0.27,2.85
107,0.21,2.69
108,0.73,-2.87
109,2.57,2.04
110,-3.44,-1.22
111,2.06,2.4
112,0.24,1.74
113,-0.67,2.69
114,2.58,-1.93
115,2.48,1.54
116,-0.18,-0.65
117,1.06,2.22
118,0.96,3.45
119,1.41,2.13
120,-5.5,0.47
121,4.55,0.03
122,2.47,1.23
123,2.15,4.21
124,5.36,3.9
125,-2.58,1.11
126,-2.23,3.9
127,3.09,-0.04
