timestamp,accX,accZ
0,2.32,3.14
1,-1.59,-1.47
2,2.42,1.74
3,-0.26,-1.02
4,-0.99,2.26
5,0.06,1.82
6,0.78,0.8
7,-2.16,2.28
8,1.43,-0.47
9,1.32,0.9
10,1.03,1.73
11,2.37,2.89
12,-1.23,-1.71
13,-0.08,2.8
14,-1.0,-1.16
15,2.35,1.97
16,-1.14,1.63
17,1.31,1.73
18,0.22,2.98
19,0.84,0.04
20,0.44,0.43
21,2.46,3.1
22,-1.41,1.76
23,1.7,0.2
24,-0.75,1.86
25,1.21,-0.2
26,-1.49,0.49
27,-1.39,2.07
28,1.03,2.3
29,-0.23,-0.88
30,-0.63,0.33
31,2.3,-0.7
32,-0.99,2.78
33,1.08,2.16
34,-0.86,0.99
35,1.78,2.26
36,3.36,-0.32
37,-0.2,1.13
38,2.82,1.72
39,-1.8,2.04
40,1.25,-0.92
41,0.16,1.98
42,-2.96,-1.53
43,3.69,2.41
44,-1.52,1.1
45,0.14,2.12
46,-1.18,1.71
47,2.72,1.07
48,0.24,0.25
49,-1.38,0.9
50,2.38,1.91
51,1.64,-1.74
52,-1.18,1.65
53,3.08,-0.19
54,2.13,0.89
55,0.12,1.4
56,0.05,1.73
57,0.1,1.26
58,1.19,1.85
59,-1.16,-0.79
60,-0.71,2.95
61,0.0,1.06
62,-0.04,1.26
63,-0.82,1.2
64,1.89,0.08
65,-1.16,0.22
66,0.09,2.28
67,0.75,2.06
68,0.58,-1.21
69,-2.19,1.45
70,1.93,-0.61
71,1.58,2.21
72,-0.4,1.77
73,0.24,1.25
74,0.22,2.92
75,0.39,0.47
76,-3.19,-0.38
77,1.61,1.86
78,-0.98,1.85
79,1.44,-1.18
80,-1.87,1.94
81,2.14,-0.48
82,3.67,1.22
83,-3.8,0.85
84,2.54,2.7
85,1.65,2.19
86,-0.36,0.61
87,0.42,0.19
88,-1.43,1.73
89,2.47,2.11
90,-1.76,1.01
91,-1.85,1.12
92,0.25,0.04
93,-0.52,0.7
94,0.97,1.72
95,-1.76,2.36
96,2.47,-1.14
97,1.74,1.57
98,-1.53,-0.28
99,-0.6,1.02
100,0.13,1.7
101,-0.86,1.68
102,-0.58,1.06
103,1.03,0.32
104,-0.66,0.41
105,-0.81,2.29
106,-1.34,1.79
107,1.34,-1.07
108,2.7,1.94
109,-1.54,-1.38
110,0.82,2.28
111,2.06,1.58
112,0.21,2.61
113,0.69,1.16
114,-0.39,1.21
115,0.21,-1.12
116,-1.47,2.27
117,0.58,2.01
118,-0.58,-2.08
119,-0.75,1.93
120,2.23,-0.78
121,2.58,2.57
122,-0.1,1.67
123,-0.21,2.43
124,-0.92,-0.46
125,1.24,1.93
126,0.12,-0.41
127,-0.15,1.89
